Document Type,Provider,AHCA Case Number,Formal/Informal Case Number,Date_Rendered
Defaults and Dismissals,Renaissance Manor,2009003176,,6/9/2009
Recommended Orders,Renaissance Manor,08-99-121-HHA,99-47PH,12/7/1999
Defaults and Dismissals,Renaissance Manor,2010010753,,11/24/2010
Settlement Agreements,Renaissance Manor,2011009543,,7/6/2012
Defaults and Dismissals,Renaissance Manor Inc,2010006646,,8/27/2010
Settlement Agreements,"Renaissance Manor, Inc, d/b/a Renaissance Manor",2007010354,07-5393,6/25/2008
Settlement Agreements,Renaissance of Sebring,06-95-218-ALF,95-72PH,1/27/1998
Settlement Agreements,Renaissance Retirement Center,2019017739,,2/7/2020
Defaults and Dismissals,Renaissance Retirement Center,"2022003099, 2022005906, 2022005909",,6/14/2022
Defaults and Dismissals,Renaissance Retirement Center,"2020005487, 2020009405",,5/4/2021
Defaults and Dismissals,Renaissance Retirement Center,2016012742,,2/13/2017
Defaults and Dismissals,Renaissance Retirement Center,2016012806,,2/13/2017
Settlement Agreements,Renaissance Retirement Center,2015010430,16-0402,7/29/2016
Defaults and Dismissals,Renaissance Retirement Center,"2014011689, 2014011713, 2015003501, 2015003503, 2015007269",,9/15/2015
Defaults and Dismissals,Renaissance Retirement Center,2014008122,,10/20/2014
Recommended Orders,Renaissance Retirement Center LLC,2012013719,13-51PH,5/9/2013
Settlement Agreements,Renaissance Retirement Center LLC,"2013007916, 2013007917",,9/18/2013
Defaults and Dismissals,"Renaissance Retirement Center, Llc",2002045176,,10/10/2002
Settlement Agreements,"Renaissance Retirement Center, Llc",2004006774,04-355PH,12/14/2004
Defaults and Dismissals,"Renaissance Retirement Center, LLC",2010012474,,2/23/2011
Defaults and Dismissals,"Renaissance Retirement Center, LLC",2010008889,,1/12/2011
Defaults and Dismissals,Renaissance Senior Living,2018006549,,7/31/2018
Settlement Agreements,Renaissance Senior Living,2024000215,24-033PH,2/23/2024
Defaults and Dismissals,Renaissance Villa Assisted Living Facility,2024001230,,6/3/2024
Defaults and Dismissals,Renal Care Center Of Okeechobee,2007011412,,2/4/2008
Settlement Agreements,Renal Care Center Of Okeechobee,2007012347,,1/23/2008
Defaults and Dismissals,Renal Care Center Of Wellington,2008005052,,6/18/2008
Settlement Agreements,Renal Care Center Of Wellington,2008005055,,9/23/2008
Defaults and Dismissals,Renal Care Group of the SE Inc,"CI 15-0773-000, 2015-0000338",,8/7/2015
Defaults and Dismissals,Renal Care Group Tampa LLC dba Renal Care Group Tampa North,"CI 15-0774-000, 2015-0000395",,8/7/2015
Defaults and Dismissals,Renal Care Group-Southeast Inc,"CI 15-0772-000, 2015-0000366",,8/7/2015
Defaults and Dismissals,Renal Reserve LLC,2024003659,,5/13/2024
Defaults and Dismissals,Renal Treatment Centers SE,"CI 15-0814-000, 2015-0000351",,8/7/2015
Settlement Agreements,Renalab Inc,2010013110,,1/19/2011
Defaults and Dismissals,Renascence Therapy Center Inc,2013009835,13-456PH,11/18/2013
Settlement Agreements,Renato Berger,CI 11-3940-000,,9/15/2011
Defaults and Dismissals,Renato Berger MD PA,2007012618,,1/23/2008
Defaults and Dismissals,Renato C Concepcion MD PA,2007014239,,3/7/2008
Settlement Agreements,Renato Dominguez,2017-0007416,,4/15/2019
Defaults and Dismissals,Rene Ab Capulong,2021-0021218,,12/6/2021
Defaults and Dismissals,Rene AB Capulong,2022-0022953,,3/20/2023
Defaults and Dismissals,Rene De Los Rios MD PA,CI 11-3474-000,,6/23/2011
Defaults and Dismissals,"Rene E De Los Rios, MD, PA",CI 11-1330-300,,10/4/2010
,"Rene Hasbun, MD",,97-95PH,11/24/1998
Settlement Agreements,Rene J Friedman,2018-0011534,19-2759MPI,5/14/2020
Defaults and Dismissals,Rene J Friedman,2016-0006380,,1/22/2018
Defaults and Dismissals,Rene L Lopez Guerrero,CI 05-2593-000,,6/13/2005
Settlement Agreements,Rene L Lopez Guerrero MD,CI 04-2234-000,07-2944MPI,2/18/2010
Settlement Agreements,Rene L Lopez-Guerrero,CI 12-1097-000,13-2445MPI,12/19/2013
Defaults and Dismissals,Rene M Lewis,CI 13-0469-000,,2/12/2013
Defaults and Dismissals,Rene Marie Lewis,2009005030,,7/15/2009
Defaults and Dismissals,Rene Marie Lewis,2013009645,,11/1/2013
Defaults and Dismissals,Rene Marie Lewis,2011006175,,7/18/2011
Defaults and Dismissals,Rene Sparkman,2014001807,,4/7/2014
Defaults and Dismissals,Renee Angels LLC,2019013174,,10/24/2019
Defaults and Dismissals,Renee Angels LLC,2023003983,,5/8/2023
Defaults and Dismissals,Renee H McCullough,2010002386,,3/22/2010
Defaults and Dismissals,Renee Marie Rue,2009001250,,4/29/2009
Recommended Orders,Renee Moore,2025006950,"25-262PH, BGS_AHCA_202565198",9/4/2025
Defaults and Dismissals,Renee Stern,2015-0001936,,6/23/2015
Defaults and Dismissals,Renerose Corporation,2006001121,,7/19/2006
Defaults and Dismissals,Renette Dimanche,2014004926,14-217PH,10/20/2014
Defaults and Dismissals,Renewed Life Clinics,2010012548,,1/12/2011
Defaults and Dismissals,Renewed Life Healthcare LLC,2025016808,,12/16/2025
Settlement Agreements,"Renfrew Center Of Florida, Llc, The",2003004913,"03-3523, 03-4501",12/10/2004
Defaults and Dismissals,Renfro Trusted Homecare LLC,2025014035,,3/16/2026
Defaults and Dismissals,Rengasawmy Sewsanikar,9-00-013-ALF,,1/29/2001
Defaults and Dismissals,Rengasawmy Sewsankar,09-00-015-ALF,,1/29/2001
Defaults and Dismissals,"Rengasawmy Sewsankar, Owner dba Tropical Palms",9-00-014-ALF,,1/29/2001
Defaults and Dismissals,Renita E Ivey,2010011038,,12/6/2010
Defaults and Dismissals,Renita E Ivey,2010011630,11-2021,12/8/2011
Defaults and Dismissals,Renita Ivey,CI 13-0338-000,,1/25/2013
Defaults and Dismissals,Renita Ivey,CI 12-2575-000,,8/6/2012
Defaults and Dismissals,Renliv Manor ALF LLC,2023006293,,10/16/2023
Settlement Agreements,Renliv Manor ALF LLC,2019008886,19-343PH,12/6/2019
Defaults and Dismissals,Renne Enterprises Inc dba Tomoka Loving Care,04-00-040-ALF,,1/9/2001
Defaults and Dismissals,Renop LLC,NH17229,,11/17/2016
Defaults and Dismissals,Renova Health Center,2002000681,,5/20/2002
Settlement Agreements,Renova Health Center,"2001052131, 2002002881",02-0673,7/10/2003
Settlement Agreements,Renova Health Center,2001067011,,3/17/2003
Settlement Agreements,Renova Health Center,NH03-102S,,2/24/2015
Defaults and Dismissals,"Renova Rehab & Health Cntr, LLC",CI 08-6924-000,,12/10/2008
Settlement Agreements,Renova Rehabilitation And Health Center,"2003007386, 2003003531",04-2024,5/13/2004
Settlement Agreements,Renova Rehabilitation And Health Center,2007007711,,11/28/2007
Settlement Agreements,Renova Rehabilitation And Health Center,2005005113,05-326PH,8/17/2005
Settlement Agreements,Renova Rehabilitation And Health Center,"2005008380, 2005007048",05-4704,5/10/2006
Defaults and Dismissals,Renova Rehabilitation And Health Center,"2007001575, 2007001576",,8/2/2007
Defaults and Dismissals,Renovation Home Health Care Inc,2009011067,,1/8/2010
Defaults and Dismissals,Renovation Home Health Care Inc dba Renovation Home Health Care,2009011067,,1/8/2010
Defaults and Dismissals,Rent A Daughter Senior Care Inc,2019009454,,7/31/2019
Defaults and Dismissals,Rent A Daughter Senior Care Inc,2019002984,,4/16/2019
Defaults and Dismissals,Rent A Daughter Senior Care Inc,2021003939,,5/7/2021
Defaults and Dismissals,Rent a Daughter Senior Care Inc,2024014808,,7/14/2025
Defaults and Dismissals,Rent A Daughter Senior Care Inc,2025002162,,3/31/2025
Defaults and Dismissals,Rent A Hand Inc,2011012098,,12/19/2011
Defaults and Dismissals,Renue Medical Center Inc,CI 95-1849-000-S,96-26PH,5/18/1998
Defaults and Dismissals,Renuka Ramkarran,2015006680,,6/2/2016
Settlement Agreements,Repeat Diagnostics Inc,2015006310,15-405PH,2/26/2016
Settlement Agreements,Repeat Diagnostics Inc,2012004912,12-429PH,4/25/2013
Defaults and Dismissals,Representative Ed Homan MD District 60,2007011803,,11/1/2007
Defaults and Dismissals,Representative Keith Fitzgerald District 69,2007011805,,11/1/2007
Settlement Agreements,Reprosource Fertility Diagnostics Inc,2013006298,,8/16/2013
Defaults and Dismissals,Republic Health Resources LLC,2023005685,,6/12/2023
Defaults and Dismissals,Republic Medical Supplies Inc,2003002400,,6/18/2003
Settlement Agreements,Reputable Health Care Inc,"2009002168, 2009002977, 2009005452","09-605PH, 09-693PH, 09-697PH",8/10/2009
Defaults and Dismissals,Reputable Health Care Inc,2013012395,,2/19/2014
Defaults and Dismissals,Reputable Health Care Inc,2012002140,,4/30/2012
Defaults and Dismissals,Reputable Health Care Inc,2011010128,,11/21/2011
Defaults and Dismissals,Reputable Health Care Inc,2010011578,,12/14/2010
Defaults and Dismissals,Reputable Health Care Inc,2015003502,,7/2/2015
Settlement Agreements,Reputable Health Care Inc,2016002985,,9/29/2016
Settlement Agreements,Reputable Health Care Inc,2015005194,,2/27/2017
Settlement Agreements,RER Enterprises Inc,2018011348,,8/28/2018
Defaults and Dismissals,Res Care Inc,CI 05-2972-000,,8/23/2005
Defaults and Dismissals,Res Care Inc,CI 05-2971-000,,8/23/2005
Defaults and Dismissals,Res Care Inc,CI 05-3558-000,,2/10/2006
Defaults and Dismissals,Res Care Inc,2018003781,,5/17/2018
Defaults and Dismissals,Res Q Med Inc,2004001945,,5/3/2004
Defaults and Dismissals,Res Q Med Inc,200204395,,8/20/2002
Defaults and Dismissals,Rescare Florida Inc,NH16944,,5/6/2015
Defaults and Dismissals,Res-Care Florida Inc,2019017642,,4/14/2020
Defaults and Dismissals,Rescare Home Care,2020009572,,9/29/2020
Defaults and Dismissals,Rescare Home Care,2015004174,,8/31/2015
Defaults and Dismissals,Rescare Home Care,2014004980,,7/1/2014
Settlement Agreements,Rescare Homecare,2013005017,,6/17/2013
Defaults and Dismissals,Res-Care Inc,2021004176,,6/8/2021
Miscellaneous Orders,Res-Care Inc,NH16722,13-1570MPI,8/11/2014
Miscellaneous Orders,Res-Care Inc,NH16726,13-1639MPI,8/11/2014
Miscellaneous Orders,Res-Care Inc,NH16723,13-1569MPI,8/11/2014
Miscellaneous Orders,Res-Care Inc,NH16742,13-2381MPI,8/11/2014
Defaults and Dismissals,Res-Care Inc,NH16939,,5/6/2015
Defaults and Dismissals,Res-Care Inc,NH16940,,5/6/2015
Settlement Agreements,Res-Care Inc,IRR #250,15-0211,5/28/2015
Defaults and Dismissals,Res-Care Premier,2013007784,,11/27/2013
Defaults and Dismissals,Res-Care Premier Inc,2020006673,,7/28/2020
Defaults and Dismissals,Res-Care Premier Inc,2019015517,,12/20/2019
Settlement Agreements,Res-Care Premier Inc,2011007827,12-30PH,7/26/2012
,"Rescare Supportive Services, Inc dba Housecall Home Healthcare",,96-26FO,10/23/1996
Settlement Agreements,Resdiential CRF Bayview,NH16733,13-261PH,5/19/2014
Miscellaneous Orders,Residence at Bay Vue,2019019282,,1/9/2020
Miscellaneous Orders,Residence at Bay Vue,2020006174,,5/5/2020
Defaults and Dismissals,Residence at Bay Vue,2020009855,,8/16/2021
Settlement Agreements,Residence at Bay Vue,2023010759,23-383PH,9/18/2023
Settlement Agreements,Residence at Bay Vue,2023015751,23-578PH,12/6/2023
Defaults and Dismissals,Residence at Bay Vue,2023017818,,2/26/2024
Defaults and Dismissals,Residence at Paddock Park,2014000606,,6/19/2014
Defaults and Dismissals,Residence At Paddock Park dba Residence At Paddock Park,2010002682,,5/17/2010
Settlement Agreements,Residence at Paddock Park Inc,2018011401,18-652PH,12/10/2018
Defaults and Dismissals,Residence Of Stuart Inc (The),2011013628,,3/19/2012
Settlement Agreements,"Residence Of Stuart, Inc The",2010010818,,2/18/2011
Defaults and Dismissals,"Residence Of Stuart, Inc. (The)",2007014037,,3/27/2008
Defaults and Dismissals,Residence Retirement Center,06-99-060-ALF,,7/6/2001
Defaults and Dismissals,"Residence Retirement Ctr., Inc. (The)",2008004424,,6/23/2008
Defaults and Dismissals,Residencia Casabella ALF Corp,2016000567,,6/8/2018
Settlement Agreements,Residencia Casabella ALF Corp,2021013666,21-632PH,2/7/2022
Defaults and Dismissals,Residencia La Esperanza Home Care Corp,2012005231,,7/23/2012
Defaults and Dismissals,Residencia Nuestra Senora De La Esperanza Home Care Corp,"2019004091, 2019004198, 2019004149, 2020005906",,8/6/2020
Defaults and Dismissals,Residencia Nuestra Senora De La Esperanza Home Care Corp,2017008738,,7/2/2018
Defaults and Dismissals,Residencia Nuestra Senora De La Esperanza No 2 Home Care Corp,2011011229,,3/12/2012
Defaults and Dismissals,Residencia Nuestra Senora Esperanza,CI 13-0506-000,,2/18/2013
Defaults and Dismissals,Residencia Nuestra SRA Esperanza,CI 13-0866-000,,6/21/2013
Defaults and Dismissals,Residencia Nuestra SRA Esperanza,CI 13-1057-000,,7/9/2013
Defaults and Dismissals,Residencia Ramentol Inc,CI 13-0950-000,,5/22/2013
Defaults and Dismissals,Residencia Salome Inc,2017006922,,5/11/2018
Defaults and Dismissals,Residencia Salome Inc,2014006294,,9/10/2014
Defaults and Dismissals,Residencia Salome Inc,2014007652,,2/19/2015
Defaults and Dismissals,Residencia Salome Inc,2015009307,,7/7/2016
Defaults and Dismissals,"Residencia Salome, Inc d/b/a Residencia Salome",2008005425,,9/3/2008
Settlement Agreements,Residencia San Lazaro Home Care Cor,CI 13-1114-000,,6/13/2013
Settlement Agreements,Residencia San Lazaro Home Care Corp,"2018004838, 2018004844",18-838PH,11/27/2018
Settlement Agreements,Residencia San Lazaro Home Care Corp,"2016005352, 2017003915, 2017003916",18-381PH,11/27/2018
Settlement Agreements,Residencia San Lazaro Home Care Corp,"2018016000, 2018015601, 2019002942, 2018015599",18-845PH,5/14/2019
Defaults and Dismissals,Residencia San Lazaro Home Care Corp,2012005099,,5/7/2013
Defaults and Dismissals,Residential CRF Bayview,2011009630,,11/21/2011
Settlement Agreements,Residential CRF Bayview,2011011310,,12/15/2011
Settlement Agreements,Residential CRF Bayview,2014010034,,4/27/2015
Settlement Agreements,Residential CRF Gulfview,2014010031,,4/21/2015
Settlement Agreements,Residential CRF Gulfview,NH17121,13-259PH,4/1/2014
Defaults and Dismissals,Residential CRF Inc Gulfview,2011011320,,11/23/2011
Settlement Agreements,Residential CRF Seaview,NH16737,13-260PH,4/1/2014
Settlement Agreements,Residential CRF Seaview,2014010029,,4/27/2015
Emergency Orders,"Residential CRF, Bayview",2011009467,,8/26/2011
Defaults and Dismissals,Residential Home For Adult Care 1,CI 13-0677-000,,3/14/2013
Defaults and Dismissals,Residential Home For Adult Care 1 Inc,2015003741,15-203PH,8/28/2015
Settlement Agreements,Residential Paradise Inc,"2019001717, 2019005002",19-102PH,6/21/2019
Settlement Agreements,Residential Paradise Inc,2019-0017484,,3/25/2020
Settlement Agreements,Residential Paradise Inc,2013011763,14-2742,7/14/2014
Defaults and Dismissals,Residential Plaza @ Blue Lagoon,CI 12-2184-000,,7/12/2012
Defaults and Dismissals,Residential Plaza at Blue Lagoon,2002000411,,1/8/2002
Defaults and Dismissals,Residential Plaza At Blue Lagoon,2003004502,1D03-3793,8/28/2003
Defaults and Dismissals,Residential Plaza at Blue Lagoon,2002000411,,1/8/2003
Defaults and Dismissals,Residential Plaza at Blue Lagoon,2018010700,,8/27/2018
Settlement Agreements,Residential Plaza at Blue Lagoon,2018007257,18-551PH,10/22/2018
Recommended Orders,Residential Plaza at Blue Lagoon Inc,2015003731,15-4812,3/14/2016
Defaults and Dismissals,Residential Respiratory Inc,2003009364,,5/3/2004
Settlement Agreements,Residential Senior Living Of Orange Park,2010010824,,12/21/2010
Settlement Agreements,"Residential Services for the Retarded, Inc dba Key Pine Village",DD04-004I,,2/23/2010
Defaults and Dismissals,Resilient Handz LLC,2025012753,25-546PH,10/13/2025
Settlement Agreements,Resolute Pain Solutions,2016006043,,11/1/2016
Settlement Agreements,Resolution Medical Center Corp,2013003828,13-188PH,5/2/2013
Settlement Agreements,"Resource Housing of America, Inc",NH92-152M; NH92-155M; NH92-159M,93-4263,9/29/1995
Defaults and Dismissals,Resource Logistics Inc,2023013858,23-583PH,4/15/2024
Defaults and Dismissals,Resource Properties Inc dba The Oasis,2009008703,,11/17/2009
Defaults and Dismissals,"Resources, Supplies and Services Inc.",2005002524,,6/8/2005
Settlement Agreements,Respected Homemaker and Companion Services LLC,2025003684,25-268PH,10/13/2025
Defaults and Dismissals,Respicare Of Central Florida,CI 12-1320-000,,8/6/2012
Defaults and Dismissals,Respicare of South Florida,10-01-0040-HME,,8/6/2001
Defaults and Dismissals,Respicare of South Florida,2007005185,,8/28/2008
Defaults and Dismissals,"Respiek, Inc",CI 08-6809-000,,8/19/2008
,"Respiflow, Inc and Diabetic Support Services, Inc",,00-02FO,7/11/2000
Defaults and Dismissals,Respiratory Care Llc,2004001722,,5/3/2004
Defaults and Dismissals,Respiratory Care Llc,2004003649,,7/8/2004
Defaults and Dismissals,Respiratory Care LLC,2006007990,,2/14/2007
Defaults and Dismissals,Respiratory Homecare,2003001120,,3/26/2003
Defaults and Dismissals,Respiratory Resources Inc,200202158,,4/29/2002
Settlement Agreements,Respiratory Retreat LLC,2018009609,18-546PH,11/7/2018
Defaults and Dismissals,Respiratory Services,2004010398,,1/11/2005
Defaults and Dismissals,Respiratory Services Of N W F Inc,2004002867,,5/3/2004
Defaults and Dismissals,Respiratory Specialist,2008005637,,9/4/2008
Defaults and Dismissals,Respiratory Support Services,03-01-0036-HME,,9/11/2001
Defaults and Dismissals,Respiratory Support Services Inc,2003007991,,12/22/2003
Defaults and Dismissals,Respiratory Support Services Inc,2018006274,,6/15/2018
Settlement Agreements,Respiratory Therapy Providers Inc,CI 04-2215-000,05-4394MPI,8/21/2006
Settlement Agreements,Respitec Medical Care & Equipment Inc,2016-0006083,16-298PH,10/30/2017
Defaults and Dismissals,Respitek Inc,2003008740,,3/16/2004
Defaults and Dismissals,Respitek Inc,2001073211,,4/30/2002
Settlement Agreements,Respitek Inc,2013011838,,4/17/2014
Settlement Agreements,Respitek Inc dba Respitek Medical Services,CI 99-0510-000-3,,12/5/2002
Settlement Agreements,"Respitek, Inc",CI 10-1284-900,,11/23/2010
Defaults and Dismissals,Responder 1st LLC,2026006241,,6/23/2026
Settlement Agreements,Responder 1st LLC,2023009109,23-317PH,10/23/2023
Settlement Agreements,Response Genetics Inc,2015012646,16-066PH,6/7/2016
Settlement Agreements,"Response Genetics, Inc",2012009802,12-550PH,11/19/2012
